date,tic,close
2016-07-20,Durbl,1.2
2016-07-21,Durbl,0.18
2016-07-22,Durbl,0.07
2016-07-25,Durbl,0.4
2016-07-26,Durbl,1.32
2016-07-27,Durbl,0.01
2016-07-28,Durbl,-2.08
2016-07-29,Durbl,0.82
2016-08-01,Durbl,-0.91
2016-08-02,Durbl,-2.3
2016-08-03,Durbl,0.76
2016-08-04,Durbl,0.64
2016-08-05,Durbl,1
2016-08-08,Durbl,0.15
2016-08-09,Durbl,0.41
2016-08-10,Durbl,-0.21
2016-08-11,Durbl,0.58
2016-08-12,Durbl,-0.23
2016-08-15,Durbl,0.91
2016-08-16,Durbl,-0.6
2016-08-17,Durbl,0.04
2016-08-18,Durbl,0.09
2016-08-19,Durbl,0.34
2016-08-22,Durbl,-0.06
2016-08-23,Durbl,0.6
2016-08-24,Durbl,-0.84
2016-08-25,Durbl,0.09
2016-08-26,Durbl,-0.3
2016-08-29,Durbl,0.36
2016-08-30,Durbl,-0.1
2016-08-31,Durbl,-0.09
2016-09-01,Durbl,-0.89
2016-09-02,Durbl,0.44
2016-09-06,Durbl,0.38
2016-09-07,Durbl,0.29
2016-09-08,Durbl,-0.7
2016-09-09,Durbl,-3.19
2016-09-12,Durbl,1.93
2016-09-13,Durbl,-1.61
2016-09-14,Durbl,-0.47
2016-09-15,Durbl,1.07
2016-09-16,Durbl,-0.21
2016-09-19,Durbl,0.74
2016-09-20,Durbl,-0.56
2016-09-21,Durbl,1.36
2016-09-22,Durbl,1.09
2016-09-23,Durbl,-0.61
2016-09-26,Durbl,-0.93
2016-09-27,Durbl,0.04
2016-09-28,Durbl,0.47
2016-09-29,Durbl,-1.35
2016-09-30,Durbl,1.3
2016-10-03,Durbl,0.41
2016-10-04,Durbl,-0.25
2016-10-05,Durbl,0.92
2016-10-06,Durbl,-0.63
2016-10-07,Durbl,-1.08
2016-10-10,Durbl,-0.27
2016-10-11,Durbl,-1.16
2016-10-12,Durbl,0.11
2016-10-13,Durbl,-0.86
