date,emerging_equity,fixed_income_balanced,min_vol,momentum,quality,size,value,emerging_equity_share,fixed_income_balanced_share,min_vol_share,momentum_share,quality_share,size_share,value_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2017-01-06,36.47,99.5,45.66,77.22,70.16,72.876,71.21,0.2831946,0.062693715,0.09901705,0.39329073,0.05506647,0.053402282,0.053335205,-23.0523,-7.2469797,-3.620938,-0.8749462,1.275834,3.0738475,5.4180465,8.927358,19.382751,1.275834,0.030136403,4.687136
2017-01-09,36.68,99.6,45.44,77.19,69.81,72.5268,70.95,0.23866963,0.06600302,0.095450215,0.42532653,0.05906666,0.057795756,0.057688233,-24.942905,-7.2945232,-3.485876,-0.7179407,1.333925,3.1578863,5.4887547,9.14783,20.328941,1.333925,0.13079561,4.8179317
2017-01-10,36.94,99.6,45.38,77.15,69.7,72.5125,71.23,0.2873565,0.10762591,0.06166441,0.38574803,0.053070273,0.05227798,0.052256823,-24.247982,-5.563225,-1.5978802,0.84622955,2.6296384,4.2940316,6.393519,9.754246,20.000038,2.6296384,0.3029131,5.120845
2017-01-11,37.21,99.4498,45.52,77.4,69.74,72.4743,71.25,0.28243324,0.096416146,0.06454415,0.39496306,0.054563083,0.053561427,0.053518794,-24.431751,-5.7039967,-1.6540616,0.8221099,2.6019676,4.260776,6.5284877,10.121693,20.933783,2.6019676,0.14663835,5.267483
2017-01-12,37.47,99.7399,45.51,77.31,69.66,72.63,70.99,0.26444426,0.078254804,0.07971043,0.40990102,0.056560695,0.05560466,0.055524204,-26.909672,-6.1486197,-1.882118,0.8144836,2.6279101,4.3704085,6.8714457,10.796516,23.016886,2.6279101,0.04346442,5.3109474
2017-01-13,37.4,99.46,45.54,77.5,69.66,72.77,71.03,0.26822814,0.07852115,0.078401394,0.4077477,0.056448437,0.055398658,0.055254538,-28.517761,-6.71058,-2.2169638,0.5764736,2.4513915,4.2576847,6.8851295,10.995913,23.805935,2.4513915,0.018246807,5.329194
2017-01-17,37.54,99.78,45.68,77.32,69.7,72.5882,70.72,0.2706131,0.07670561,0.069565065,0.41356146,0.057374105,0.056136787,0.056043833,-29.572216,-6.8578215,-2.2911673,0.5637078,2.3631473,4.188782,6.823522,11.133925,24.4114,2.3631473,0.08732113,5.4165154
2017-01-18,37.46,99.49,45.72,77.55,69.82,72.94,70.86,0.26495308,0.092131294,0.07439361,0.40317374,0.0558666,0.054778013,0.054703612,-33.399055,-7.6557865,-2.3942251,0.71026987,2.680443,4.7185993,7.5385437,12.189496,26.601175,2.680443,-0.23337607,5.1831393
2017-01-19,37.3626,99.33,45.47,77.46,69.47,72.44,70.56,0.27803344,0.08912389,0.070650205,0.39855263,0.05535361,0.054179166,0.054107063,-34.431957,-7.801339,-2.3117359,0.8501788,2.8227844,4.8745084,7.880928,12.752086,27.585423,2.8227844,0.17151396,5.3546534
2017-01-20,37.42,99.41,45.63,77.62,69.66,72.585,70.67,0.27360106,0.088976614,0.06887257,0.40222037,0.056766894,0.05485056,0.054712005,-30.497448,-7.0287304,-2.151901,0.702361,2.4954503,4.314039,6.952117,11.259908,24.511543,2.4954503,0.26425683,5.6189103
2017-01-23,37.94,99.68,45.61,77.45,69.56,72.68,70.44,0.29348758,0.079560824,0.063516036,0.3980511,0.057044484,0.054244306,0.05409563,-30.845394,-7.259143,-2.3774033,0.5675088,2.398629,4.2619705,6.8535266,11.203319,24.405457,2.398629,0.52677345,6.145684
2017-01-24,38.11,99.52,45.72,78.08,70.03,73.11,71.18,0.25685367,0.09041442,0.07415594,0.40865436,0.058093607,0.056157317,0.055670705,-31.555416,-7.476882,-2.503634,0.45405215,2.368888,4.2628427,7.0614924,11.506731,25.348316,2.368888,0.5438836,6.6895676
2017-01-25,38.25,99.43,45.87,78.72,70.62,73.65,72.01,0.2738296,0.08733256,0.06683621,0.40351823,0.057705153,0.055610258,0.055168025,-31.537624,-7.6533756,-2.6627612,0.26899254,2.1283836,4.0024366,6.859986,11.359607,24.96607,2.1283836,-0.09680665,6.592761
