date,BIG HiBM,BIG LoBM,ME1 BM2,BIG HiBM_share,BIG LoBM_share,ME1 BM2_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2020-05-12,-0.034300000000000004,-0.0184,-0.0264,0.55955374,0.16868918,0.27175704,-0.5106062,-0.2530964,-0.86130863,-0.75322866,-0.0006329417,-0.26165852,0.2472892,-0.5976543,-0.09642567,-0.09642567,-0.035270253524184225,1.6935594751582228
2020-05-13,-0.0444,-0.0118,-0.030899999999999997,0.5471252,0.17063534,0.28223944,-0.4898732,-0.25092646,-0.84332025,-0.7263557,0.020601086,-0.27347812,0.23914082,-0.589555,-0.10804646,-0.10804646,0.019093142095208168,1.7258948468641047
2020-05-14,0.034300000000000004,0.01,-0.0048,0.6092117,0.1632183,0.22757003,-0.45229053,-0.19986203,-0.67479,-0.69360805,-0.104921415,-0.12944138,0.09673133,-0.36238563,-0.009875305,-0.009875305,0.0012395397901535027,1.7280341622004136
2020-05-15,-0.0069,0.0072,0.019299999999999998,0.5887512,0.16654372,0.2447051,-0.505425,-0.22313818,-0.7821365,-0.72843754,-0.079667985,-0.17333898,0.20289896,-0.49193615,-0.034254506,-0.034254506,0.05723507573604583,1.8269383283484288
2020-05-18,0.0766,0.021400000000000002,0.0352,0.63990194,0.15304194,0.20705613,-0.4861678,-0.17588575,-0.57622826,-0.6865446,-0.19082305,-0.031123262,0.08606775,-0.21151175,0.109916635,0.109916635,-0.021394453901052476,1.7878519805025126
2020-05-19,-0.026600000000000002,-0.0068000000000000005,-0.015600000000000001,0.563766,0.16521373,0.27102026,-0.57284945,-0.25311452,-0.8958052,-0.8051182,-0.028294548,-0.23677334,0.3410358,-0.66167253,-0.07989548,-0.07989548,0.025920104962587356,1.8341932914947077
2020-05-20,0.027999999999999997,0.014199999999999999,0.029300000000000003,0.6145397,0.15660414,0.22885624,-0.5225987,-0.19575492,-0.70190483,-0.7695749,-0.106323026,-0.11000754,0.20626992,-0.44251937,-0.019950233,-0.019950233,0.029715888833999633,1.8886979754448323
2020-06-03,0.0438,0.008,0.0072,0.62222993,0.1529324,0.22483763,-0.55030596,-0.20991133,-0.7544601,-0.7999158,-0.14878166,-0.111281574,0.23838045,-0.47067958,0.013747409,0.013747409,0.020876868864893913,1.9281280754035848
2020-06-04,0.0358,-0.0089,-0.0001,0.614105,0.15398851,0.23190656,-0.5572243,-0.21472295,-0.77131426,-0.8004355,-0.118335016,-0.13228384,0.2715642,-0.51317316,-0.007887073,-0.007887073,0.0347595670670271,1.9951489725543936
2020-06-05,0.044000000000000004,0.0222,0.0187,0.6250576,0.14981677,0.22512566,-0.5318165,-0.20204721,-0.7390594,-0.79030836,-0.15168877,-0.13572304,0.24549174,-0.4383262,0.038861282,0.038861282,0.021837611241638657,2.0387182601861915
2020-06-08,0.027999999999999997,0.0076,0.0143,0.6121358,0.15196016,0.23590402,-0.52454686,-0.2084293,-0.75074947,-0.7756288,-0.113465145,-0.15899019,0.2754118,-0.48936814,0.009771511,0.009771511,-0.013193667134642602,2.011820090079977
2020-06-09,-0.019799999999999998,0.0018,-0.005600000000000001,0.5594143,0.16003685,0.2805488,-0.55107594,-0.21054338,-0.79246974,-0.76070064,-0.0045609847,-0.20292287,0.37993473,-0.62125486,-0.08523381,-0.08523381,-0.030985618893802167,1.9494825994858642
2020-06-10,-0.051699999999999996,0.0095,-0.0124,0.5208343,0.16320232,0.31596336,-0.57645243,-0.16995066,-0.8012401,-0.7707598,0.04943464,-0.1784028,0.44244936,-0.6643154,-0.15288563,-0.15288563,-0.08624018841683864,1.7813588527908548
2020-06-11,-0.10189999999999999,-0.053099999999999994,-0.07730000000000001,0.4612154,0.18262516,0.35615942,-0.45184717,0.033567432,-0.7499918,-0.69292474,0.21589847,-0.17784974,0.52222216,-0.59573424,-0.23988123,-0.23988123,0.030444824618101118,1.835592010645974
2020-06-12,0.0475,0.008199999999999999,0.020099999999999996,0.64097357,0.1435345,0.21549195,-0.44410244,-0.08056402,-0.48885778,-0.6159151,0.045766186,-0.2483652,0.1999383,-0.15526132,0.005365692,0.005365692,0.01880098930448294,1.8701029564055232
2020-06-15,0.0175,0.0079,0.0316,0.6360528,0.13705313,0.2268941,-0.52172565,-0.039092243,-0.6625224,-0.6493383,0.038344976,-0.26501194,0.3703049,-0.29757518,-0.015758198,-0.015758198,0.022040917709469796,1.9113217417758934
2020-06-16,0.0225,0.0218,0.021,0.64190495,0.13357843,0.22451657,-0.5287795,-0.011455789,-0.6451925,-0.6285228,0.028695911,-0.28411183,0.39667767,-0.2372935,0.012503419,0.012503419,-0.020583902545273307,1.8719792813105165
2020-06-17,-0.026099999999999998,0.0015,-0.0179,0.6118827,0.13318144,0.25493595,-0.60082376,0.035631273,-0.7521143,-0.7131885,0.10238817,-0.21853548,0.5559365,-0.45023742,-0.119195685,-0.119195685,0.000847380271553993,1.873565559622257
2020-06-18,-0.0015,0.0028000000000000004,0.005699999999999999,0.62876505,0.12726066,0.24397424,-0.590365,0.0994349,-0.6739907,-0.6444375,0.07669835,-0.28032428,0.56628805,-0.23602636,-0.022907704,-0.022907704,-0.00441464392542839,1.8652944348055787
2020-06-19,-0.0062,-0.0036,-0.0001,0.6150066,0.12583286,0.2591605,-0.5774292,0.12497653,-0.65588045,-0.5993295,0.08694386,-0.28324685,0.5744338,-0.2009541,-0.017130546,-0.017130546,-0.0012440130025148405,1.8629739842751618
2020-06-22,-0.009300000000000001,0.0113,0.011899999999999999,0.5268066,0.15330444,0.31988904,-0.39392436,0.13475293,-0.6746427,-0.35479984,-0.14097743,-0.36700824,0.60716116,0.086508974,0.33217287,0.33217287,0.008806566078960895,1.8793803877710662
2020-06-23,0.008,0.0069,0.0116,0.48169976,0.20723172,0.31106848,-0.44829118,0.2026735,-0.66811717,-0.2559821,-0.1842769,-0.42891723,0.7470437,0.35323578,0.66893274,0.66893274,-0.03021550678014755,1.8225939569218932
2020-06-24,-0.0398,-0.022000000000000002,-0.020499999999999997,0.31616133,0.4620677,0.22177094,-0.25634918,0.56913185,-0.8040018,-0.24764186,-0.030413955,-0.2668956,1.5337896,0.26276305,0.900946,0.900946,0.018914207035303117,1.8570668763644065
2020-06-25,0.0344,0.0113,0.015,0.24157794,0.6598698,0.098552324,-0.6298134,1.3879125,-1.0887508,0.14995259,0.041006565,-0.101291254,3.3404515,1.6354022,2.561559,2.561559,-0.0313522108361125,1.7988437241198687
2020-06-26,-0.0565,-0.0213,-0.033,0.17825857,0.72342414,0.098317206,-0.4921486,1.4217672,-0.5454277,0.29848436,0.24156897,-0.2758643,4.6754932,2.1278813,3.673217,3.673217,0.012870347632467747,1.8219954681857742
2020-06-29,0.0144,0.0131,0.0097,0.15673196,0.7427373,0.10053076,-0.5258751,1.4670601,-0.5034195,0.810164,0.37868226,-0.36276466,6.28401,3.6621802,5.202109,5.202109,0.017046148055791854,1.8530534726934504
2020-06-30,0.0182,0.0173,0.0138,0.14804876,0.7503881,0.10156314,-0.3574774,1.180263,-0.44186842,0.6111209,0.2754473,-0.28946745,5.968172,3.7257855,4.9356537,4.9356537,0.004432849706709384,1.8612677802363964
2020-07-01,-0.0172,0.0095,-0.0013,0.13527404,0.7616439,0.10308203,-0.019979868,0.8795694,-0.17706566,0.28526777,0.18337873,-0.1728161,5.8111625,3.7891197,4.7835436,4.7835436,0.005220821261405944,1.8709851266366244
2020-07-02,0.0052,0.0060999999999999995,-0.001,0.12589186,0.76990473,0.10420341,0.040503185,0.73926914,-0.10121745,0.10727693,0.083471015,-0.0073682033,5.376506,3.6402009,4.3885007,4.3885007,0.020844309332966805,1.9099845193736185
2020-07-06,0.0275,0.0216,0.0074,0.12705353,0.7688777,0.104068756,-0.08919757,0.7173211,-0.097978726,0.11565044,0.02794154,0.08952859,5.061272,3.5592778,4.175779,4.175779,-0.011386350633203982,1.8882367659320387
2020-07-07,-0.027999999999999997,-0.008,-0.0161,0.12689818,0.769009,0.10409281,0.14810663,0.47825816,0.053529225,-0.020711124,0.089447446,-0.104296416,4.697092,3.2349348,3.8881466,3.8881466,0.012169515480101107,1.9112156924851447
2020-07-08,0.0141,0.0127,0.0059,0.12236484,0.7730105,0.1046247,-0.09006614,0.71955043,0.1668071,0.20288217,0.18279132,0.10283035,4.9293118,3.4918497,4.124304,4.124304,-0.0032790985286235814,1.9049486279200343
2020-07-09,-0.0318,0.0037,-0.021400000000000002,0.124548525,0.7710789,0.10437263,0.02368265,0.55249774,0.16652633,0.06967539,0.15914974,-0.029456701,4.5159535,3.2384799,3.8094702,3.8094702,0.010323581585288047,1.9246145204961491
2020-07-10,0.0489,0.0049,0.0044,0.12347473,0.7720206,0.104504645,-0.06765495,0.63587636,0.10359797,-0.028121449,0.12009542,0.19071972,4.411148,3.0850136,3.609346,3.609346,-0.015609981532394887,1.8945713233742252
2020-07-13,0.0024,-0.017,-0.026600000000000002,0.1342845,0.76248294,0.10323253,0.0780758,0.3141829,0.14300452,0.11092741,0.09376393,-0.3506427,4.100977,3.190027,3.6964898,3.6964898,0.011194964018464088,1.9157809811698134
2020-07-14,0.004699999999999999,0.0115,0.0176,0.13221169,0.7642846,0.10350377,-0.1351482,0.5100954,0.035343766,0.029839974,0.036572702,0.023852428,3.8856225,2.9961638,3.3516085,3.3516085,0.010260082951188087,1.9354370529529241
2020-07-15,0.026099999999999998,0.0045000000000000005,0.0326,0.12899177,0.7670997,0.10390854,-0.1160105,0.5372538,0.007767819,-0.16782022,0.027806263,0.19172458,3.7059593,2.6931338,3.0451124,3.0451124,-0.004650328107178211,1.9264366356259028
2020-07-16,0.0072,-0.0074,0.001,0.12839843,0.7676214,0.10398023,0.023109954,0.41516614,0.059417564,-0.24861881,0.034120914,0.09425959,3.6585376,2.6221073,3.0173419,3.0173419,0.0021791948705911636,1.9306347164607778
2020-07-17,-0.0096,0.0032,0.0092,0.12515582,0.77045256,0.10439157,-0.08927495,0.5416954,-0.12904781,-0.5360773,0.032999016,0.3225207,3.5816064,2.2651312,2.7139044,2.7139044,0.01831192337423563,1.965988351452247
2020-07-20,-0.0113,0.0232,0.0178,0.12489176,0.7706433,0.10446496,-0.25261906,0.6536546,-0.26976916,-0.6145294,-0.008338975,0.4871748,3.4588602,2.1548855,2.5465958,2.5465958,-0.0030278344482183458,1.9600356641969239
2020-07-21,0.017,-0.0077,0.0075,0.12514424,0.77044517,0.104410544,-0.05465699,0.5040233,-0.16852899,-0.6597259,0.022309199,0.32422972,3.50897,2.1170452,2.60184,2.60184,0.0031628627553582193,1.966234987998386
2020-07-22,-0.0024,0.006,-0.0111,0.12568012,0.76992154,0.10439831,-0.12759596,0.545042,-0.24876586,-0.71532965,0.0067108385,0.39240322,3.3639596,1.9985223,2.430122,2.430122,-0.017574390178918837,1.9316796071358606
2020-07-23,-0.0001,-0.0219,-0.0067,0.12876871,0.7671683,0.10406292,0.064749345,0.32306862,-0.07101062,-0.6072746,0.0062526446,0.15780371,3.196337,2.040421,2.4546402,2.4546402,-0.006583053358644246,1.9189632572102802
2020-07-24,-0.0078000000000000005,-0.004699999999999999,-0.0189,0.12914252,0.7667748,0.104082726,-0.04363758,0.39385462,-0.09193875,-0.55610764,-0.014204569,0.23896717,3.0572066,2.0663743,2.3640392,2.3640392,0.014349665668606758,1.9464997383815885
2020-07-27,0.0046,0.0149,0.022400000000000003,0.12885733,0.76693225,0.10421049,-0.24369343,0.5576964,-0.23196696,-0.60314435,-0.044114195,0.42977133,2.9554558,1.9967766,2.2069373,2.2069373,-0.01065389360189438,1.925761937272756
2020-07-28,-0.0073,-0.0103,-0.0174,0.13001849,0.7658585,0.10412297,-0.043910384,0.36190352,-0.19826183,-0.7235874,-0.022501092,0.25942448,2.8712735,1.7864294,2.0987246,2.0987246,0.012716210532188415,1.9502503315019915
2020-07-29,0.018500000000000003,0.0128,0.0049,0.12806903,0.7674989,0.10443205,-0.27407315,0.56806666,-0.35089895,-0.7879994,-0.043738242,0.5032085,2.8372562,1.7246914,1.9671161,1.9671161,-0.0002471928149461752,1.9497682436326977
2020-07-30,-0.0246,0.0024,0.0102,0.12975019,0.76591337,0.10433648,-0.16498321,0.44704843,-0.30014113,-0.79897845,-0.03946858,0.38648608,2.7118256,1.6503043,1.8922645,1.8922645,0.009761316420882942,1.9688005484061857
2020-07-31,-0.0034000000000000002,0.015600000000000001,-0.0167,0.12974471,0.76584387,0.10441144,-0.25486234,0.51337534,-0.31085047,-0.7500404,-0.053834498,0.4563188,2.6441178,1.7030562,1.8608636,1.8608636,0.01334998858422041,1.995084013252015
2020-08-03,0.0069,0.0131,0.0232,0.13098523,0.76460683,0.104407944,-0.29020113,0.5160391,-0.33468047,-0.7529209,-0.07526015,0.47463232,2.5557673,1.6627939,1.8030201,1.8030201,0.004072368205338716,2.003208729954562
2020-08-04,-0.0046,0.0034000000000000002,0.0199,0.1300939,0.7653761,0.104529984,-0.23570497,0.48875442,-0.35588977,-0.87661475,-0.052759055,0.46849447,2.5547624,1.4952728,1.7129719,1.7129719,0.009516335769742727,2.0222719368456894
2020-08-05,0.0161,0.0072,0.0183,0.12968048,0.76559514,0.104724385,-0.30019593,0.50986344,-0.4466754,-0.97125536,-0.0774969,0.51963794,2.5132759,1.3700494,1.6138779,1.6138779,0.0041797545291483405,2.03072453713289
2020-08-06,-0.0126,0.0078000000000000005,-0.0015,0.1297962,0.76536477,0.1048391,-0.27035344,0.47294912,-0.4758985,-1.066739,-0.075467005,0.4884258,2.4622333,1.2299207,1.5029601,1.5029601,-0.0025950106039643287,2.0254547854252998
2020-08-07,0.0217,-0.0097,0.0192,0.1290815,0.7659132,0.10500532,-0.23216073,0.44323224,-0.5184902,-1.2032546,-0.06350961,0.45942447,2.4529994,1.0554036,1.3808814,1.3808814,0.0025181819051504134,2.0305552490156584
2020-08-10,0.0126,-0.0027,0.0282,0.12979518,0.76510996,0.10509495,-0.26474035,0.45808253,-0.5034439,-1.134363,-0.07911155,0.4902962,2.3613307,1.1115452,1.3905747,1.3905747,-0.009949470668286085,2.010352299125243
2020-08-11,0.016399999999999998,-0.013600000000000001,-0.0159,0.13702519,0.7583686,0.104606174,-0.11339137,0.28074074,-0.28763556,-0.8634451,-0.104172856,0.28808495,2.1447191,1.3563858,1.505303,1.505303,0.016518211548030376,2.043559723688263
2020-08-12,-0.0033,0.0219,0.0036,0.13339199,0.76132274,0.10528523,-0.35418445,0.47316787,-0.4572086,-0.9247849,-0.14010292,0.5340139,2.1412416,1.2908691,1.4598155,1.4598155,0.0020268115043640136,2.0477016340460894
2020-08-13,-0.0067,0.0022,0.011899999999999999,0.13256744,0.76212114,0.105311364,-0.25610322,0.44091052,-0.43987843,-1.0436075,-0.09954656,0.47750768,2.1647217,1.1517951,1.3371737,1.3371737,-0.0005376979708671569,2.0466005890325216
2020-08-14,0.005,-0.0012,-0.0027,0.13294753,0.7617439,0.10530857,-0.23166344,0.43242398,-0.4303089,-1.0534189,-0.09852521,0.4594535,2.16603,1.1544894,1.32272,1.32272,0.0055861830666661255,2.058033274587204
2020-08-17,-0.0171,0.0096,0.0052,0.1322658,0.762029,0.10570516,-0.28461042,0.45918855,-0.50088435,-1.0920728,-0.11398356,0.50447637,2.1227999,1.0484328,1.2895356,1.2895356,0.00373432244360447,2.06571863443418
2020-08-18,-0.0115,0.0078000000000000005,-0.006500000000000001,0.13405393,0.76013803,0.105808,-0.2652155,0.4413194,-0.47386762,-1.05283,-0.12233662,0.48094404,2.0534668,1.0667462,1.2709409,1.2709409,-0.001641573664546013,2.062327605125531
2020-08-19,0.0027,-0.0038,0.0084,0.1385804,0.7557248,0.10569483,-0.20486324,0.35874233,-0.36092058,-0.90956545,-0.14017387,0.39402366,1.9213581,1.2138748,1.3040645,1.3040645,0.005980301330983638,2.0746609456473872
