date,emerging_equity,fixed_income_balanced,min_vol,momentum,quality,size,value,emerging_equity_share,fixed_income_balanced_share,min_vol_share,momentum_share,quality_share,size_share,value_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-12-13,36.8,98.9394,45.77,76.89,70.32,73.12,71.85,0.05662036,0.21410717,0.2932382,0.21297073,0.08112676,0.08688236,0.05505435,-41.560863,-12.5265465,-6.872499,-3.1964905,-0.06320491,2.474353,4.7183585,10.169241,27.195065,-0.06320491,-0.5776714,3.1510243
2016-12-14,36.36,99.1212,45.32,76.43,69.75,72.325,71.18,0.06891844,0.23441835,0.27045494,0.18404534,0.092885174,0.08621873,0.06305901,-41.670425,-13.731398,-7.248501,-3.0955446,0.21962698,3.2601926,5.498191,10.912402,26.178185,0.21962698,0.004435966,3.1554604
2016-12-15,35.86,98.4996,45.43,76.82,69.94,72.57,71.55,0.12566532,0.23109859,0.18241082,0.15221916,0.15225895,0.08494072,0.07140642,-42.075016,-13.755756,-7.10623,-3.09806,0.06616813,3.0296614,5.611807,11.469772,27.514984,0.06616813,-0.02631403,3.1291463
2016-12-16,35.6,98.79,45.6,76.61,69.91,72.5423,71.31,0.16150811,0.23661096,0.16796742,0.13606058,0.14066009,0.08702001,0.07017291,-41.8683,-14.602635,-8.564707,-4.800819,-1.81592,1.0232434,4.442448,11.305666,27.24106,-1.81592,0.09122398,3.2203703
2016-12-19,35.59,98.5791,45.75,76.87,70.05,72.675,71.45,0.12707512,0.22158022,0.18175513,0.17422007,0.13291506,0.091776766,0.07067769,-42.751865,-15.539641,-9.272886,-5.290744,-2.1023383,0.84333885,4.1248965,10.810748,26.642334,-2.1023383,0.20006105,3.4204314
2016-12-20,35.62,98.82,45.77,77.12,70.28,72.8856,71.74,0.12980817,0.19966024,0.18009919,0.18105726,0.12671885,0.10732417,0.07533206,-40.442867,-14.200508,-8.005992,-4.301972,-1.5678668,1.0775186,4.003293,9.920937,25.339737,-1.5678668,-0.35430393,3.0661275
2016-12-21,34.95,98.7081,45.62,77.03,70.1,72.8,71.63,0.10323505,0.13597439,0.1771466,0.2386044,0.14116625,0.13152654,0.072346844,-39.120113,-13.494989,-7.9591303,-4.3511605,-1.4679414,1.425184,4.487304,11.100639,26.104809,-1.4679414,-0.5501503,2.5159774
2016-12-22,34.62,98.7814,45.3,76.61,69.7,72.08,70.87,0.097576454,0.140001,0.18003839,0.25004655,0.1376766,0.12349349,0.07116753,-42.04229,-14.286156,-8.245147,-4.335507,-1.0965064,2.1084654,5.407478,12.468785,28.905777,-1.0965064,0.14843889,2.6644163
2016-12-23,34.73,98.8636,45.37,76.75,69.75,72.23,71.06,0.08566332,0.10440639,0.17167376,0.32958254,0.14525168,0.09795958,0.065462776,-30.335081,-6.690624,-2.376094,0.24972071,2.5099444,5.084164,7.439524,13.483838,27.50646,2.5099444,0.22457455,2.8889909
2016-12-27,34.93,98.87,45.42,77.09,69.81,72.34,71.23,0.31337836,0.14446509,0.07400671,0.34098476,0.04282557,0.042238727,0.04210077,-29.471983,-6.1477137,-2.0136697,0.2502399,2.0452876,3.8443198,5.798713,10.820353,23.234625,2.0452876,-0.2479715,2.6410193
